Año,Mes,Nacionalidad ,Femenino,Masculino,Total
2016,Septiembre,República Dominicana,769,1040,1809
2016,Septiembre,China,393,1026,1419
2016,Septiembre,Australia,454,708,1162
2016,Septiembre,Uruguay,465,639,1104
2016,Septiembre,Suiza,374,700,1074
2016,Septiembre,Cuba,250,737,987
2016,Septiembre,Honduras,444,534,978
2016,Septiembre,Paraguay,417,503,920
2016,Septiembre,Japón,213,644,857
2016,Septiembre,Israel,160,630,790
2016,Septiembre,Bélgica,255,516,771
2016,Septiembre,Portugal,223,547,770
2016,Septiembre,República de Corea,170,504,674
2016,Septiembre,Turquía,214,391,605
2016,Septiembre,India,77,526,603
2016,Septiembre,Federación de Rusia,207,241,448
2016,Septiembre,Suecia,161,267,428
2016,Septiembre,República de Irlanda,147,264,411
2016,Septiembre,Austria,131,262,393
2016,Septiembre,Nicaragua,143,175,318
2016,Septiembre,Polonia,119,186,305
2016,Septiembre,Dinamarca,98,203,301
2016,Septiembre,Filipinas,46,236,282
2016,Septiembre,Noruega,102,176,278
2016,Septiembre,Nueva Zelanda,95,141,236
2016,Septiembre,Taiwán,67,118,185
2016,Septiembre,Sudáfrica,51,101,152
2016,Septiembre,República Checa,45,98,143
2016,Septiembre,Rumania,66,75,141
2016,Septiembre,Grecia,26,94,120
2016,Septiembre,Finlandia,45,57,102
2016,Septiembre,Hungría,30,60,90
2016,Septiembre,Jamaica,31,55,86
2016,Septiembre,Tailandia,29,56,85
2016,Septiembre,Trinidad y Tobago,25,59,84
2016,Septiembre,Ucrania,23,58,81
2016,Septiembre,Irán,10,65,75
2016,Septiembre,Lituania,34,40,74
2016,Septiembre,Malasia,18,50,68
2016,Septiembre,Surinam,35,26,61
2016,Septiembre,Marruecos,9,48,57
2016,Septiembre,Bulgaria,25,31,56
2016,Septiembre,Egipto,7,48,55
2016,Septiembre,Líbano,20,35,55
2016,Septiembre,Eslovaquia,18,34,52
2016,Septiembre,Croacia,10,34,44
2016,Septiembre,Eslovenia,16,27,43
2016,Septiembre,Bahamas,14,27,41
2016,Septiembre,Indonesia,13,27,40
2016,Septiembre,Singapur,13,27,40
2016,Septiembre,Vietnam,9,31,40
2016,Septiembre,Kazajistán,4,33,37
2016,Septiembre,Guyana,15,17,32
2016,Septiembre,Azerbaiyán,2,28,30
2016,Septiembre,Hong Kong,13,17,30
2016,Septiembre,Haití,9,18,27
2016,Septiembre,Uzbekistán,0,27,27
2016,Septiembre,Belice,11,14,25
2016,Septiembre,Barbados,9,15,24
2016,Septiembre,Mozambique,3,21,24
2016,Septiembre,Angola,18,3,21
2016,Septiembre,Estonia,10,11,21
2016,Septiembre,Islandia,10,11,21
2016,Septiembre,Kenia,9,12,21
2016,Septiembre,Islas Salomón,0,20,20
2016,Septiembre,Malta,7,12,19
2016,Septiembre,Letonia,7,10,17
2016,Septiembre,Serbia,10,7,17
2016,Septiembre,Luxemburgo,7,9,16
2016,Septiembre,Pakistán,2,13,15
2016,Septiembre,Rwanda,0,14,14
2016,Septiembre,República de Belarús,7,6,13
2016,Septiembre,Nigeria,2,11,13
2016,Septiembre,Andorra,2,10,12
2016,Septiembre,Islas Caimán/Territorio Británico de Ultramar,5,7,12
2016,Septiembre,Georgia,0,12,12
2016,Septiembre,Palestina,8,4,12
2016,Septiembre,Emiratos Árabes,2,9,11
2016,Septiembre,San  Vicente y las Granadinas,2,9,11
2016,Septiembre,Jordania,4,6,10
2016,Septiembre,San Cristóbal y Nevis,6,4,10
2016,Septiembre,Dominica,2,7,9
2016,Septiembre,Ghana,2,7,9
2016,Septiembre,Chipre,4,4,8
2016,Septiembre,Santa Lucia,3,5,8
2016,Septiembre,Senegal,1,6,7
2016,Septiembre,Albania,3,3,6
2016,Septiembre,Antigua y Barbuda,2,4,6
2016,Septiembre,Arabia Saudita,0,6,6
2016,Septiembre,Argelia,2,4,6
2016,Septiembre,Bahréin,5,1,6
2016,Septiembre,República Árabe Siria,0,6,6
2016,Septiembre,Bangladesh,1,4,5
2016,Septiembre,Bermudas/Territorio Británico de Ultramar,2,3,5
2016,Septiembre,República Democrática del Congo,2,3,5
2016,Septiembre,Granada,2,3,5
2016,Septiembre,Mauricio,1,4,5
2016,Septiembre,Sri Lanka,1,4,5
2016,Septiembre,Túnez,3,2,5
2016,Septiembre,Bosnia y Herzegovina,0,4,4
2016,Septiembre,Liechtenstein,2,2,4
2016,Septiembre,Macedonia,1,3,4
2016,Septiembre,Zimbabue,0,4,4
2016,Septiembre,Burkina Faso,0,3,3
2016,Septiembre,Costa de Marfil,0,3,3
2016,Septiembre,Kuwait,1,2,3
2016,Septiembre,República de Kosovo,1,2,3
2016,Septiembre,República Democrática Popular  Lao,1,2,3
2016,Septiembre,Santa Sede/Ciudad del Vaticano,0,3,3
2016,Septiembre,Sudán,0,3,3
2016,Septiembre,Tanzania,2,1,3
2016,Septiembre,Benín,1,1,2
2016,Septiembre,Camerún,1,1,2
2016,Septiembre,República de Yibuti,0,2,2
2016,Septiembre,Etiopia,0,2,2
2016,Septiembre,Islas Fiji,0,2,2
